"STUDY_ID","REVIEWERS","INCLUDE","AU","TI","SO","PY","DI","AB","screen_status"
"1","Elise","not vetted","May, R; Masden, EA; Bennet, F; Perron, M","Considerations for upscaling individual effects of wind energy development towards population-level impacts on wildlife","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2019","10.1016/j.jenvman.2018.09.062","The expansion of wind energy poses challenges to policy-and decision-makers to address conflicts with wildlife. Conflicts are associated with impacts of existing and planned projects on wildlife, and associated difficulties of prediction where impacts are subject to considerable uncertainty. Many post-construction studies have demonstrated adverse effects on individuals of various bird and bat species. These effects may come in the form of collision-induced mortality or behavioral or physiological changes reducing the fitness of individuals exposed to wind energy facilities. Upscaling these individual effects to population impacts provides information on the true value of interest from a conservation point of view. This paper identifies methodological issues associated when moving from individual effects to population impacts in the context of wind energy. Distinct methodological approaches to predict population impacts are described using published case studies. The various choices of study design and metrics available to detect significant changes at the population level are further assessed based on these. Ways to derive impact thresholds relevant for decision-making are discussed in detail. Robust monitoring schemes and sophisticated modelling techniques may inevitably be unable to describe the whole complexity of wind and wildlife interactions and the natural variability of animal populations. Still, they will provide an improved understanding of the response of wildlife to wind energy and better-informed policies to support risk-based decision-making. Policies that support the use of adaptive management will promote assessments at the population level. Providing information to adequately balance the development of wind energy with the persistence of wildlife populations.","MAYBE"
"2","Elise","not vetted","Leasure, DR; Wenger, SJ; Chelgren, ND; Neville, HM; Dauwalter, DC; Bjork, R; Fesenmyer, KA; Dunham, JB; Peacock, MM; Luce, CH; Lute, AC; Isaak, DJ","Hierarchical multi-population viability analysis","ECOLOGY","2019","10.1002/ecy.2538","Population viability analysis (PVA) uses concepts from theoretical ecology to provide a powerful tool for quantitative estimates of population dynamics and extinction risks. However, conventional statistical PVA requires long-term data from every population of interest, whereas many species of concern exist in multiple isolated populations that are only monitored occasionally. We present a hierarchical multi-population viability analysis model that increases inference power from sparse data by sharing information among populations to assess extinction risks while accounting for incomplete detection and sampling biases with explicit observation and sampling sub-models. We present a case study in which we customized this model for historical population monitoring data (1985-2015) from federally threatened Lahontan cutthroat trout populations in the Great Basin, USA. Data were counts of fish captured during backpack electrofishing surveys from locations associated with 155 isolated populations. Some surveys (25%) included multi-pass removal sampling, which provided valuable information about capture efficiency. GIS and remote sensing were used to estimate August stream temperatures, peak flows, and riparian vegetation condition in each population each year. Field data were used to derive an annual index of nonnative trout densities. Results indicated that population growth rates were higher in colder streams and that nonnative trout reduced carrying capacities of native trout. Extinction risks increased with more environmental stochasticity and were also related to population extent, water temperatures, and nonnative densities. We developed a graphical user interface to interact with the fitted model results and to simulate future habitat scenarios and management actions to assess their influence on extinction risks in each population. Hierarchical multi-population viability analysis bridges the gap between site-level field observations and population-level processes, making effective use of existing datasets to support management decisions with robust estimates of population dynamics, extinction risks, and uncertainties.","MAYBE"
"3","Elise","not vetted","Wright, DP; Thyer, M; Westra, S; Renard, B; McInerney, D","A generalised approach for identifying influential data in hydrological modelling","ENVIRONMENTAL MODELLING & SOFTWARE","2019","10.1016/j.envsoft.2018.03.004","Influence diagnostics are used to identify data points that have a disproportionate impact on model parameters, performance and/or predictions, providing valuable information for use in model calibration. Regression-theory influence diagnostics identify influential data by combining the leverage and the standardised residuals, and are computationally more efficient than case-deletion approaches. This study evaluates the performance of a range of regression-theory influence diagnostics on ten case studies with a variety of model structures and inference scenarios including: nonlinear model response, heteroscedastic residual errors, data uncertainty and Bayesian priors. A new technique is developed, generalised Cook's distance, that is able to accurately identify the same influential data as standard case deletion approaches ( Spearman rank correlation: 0.93-1.00) at a fraction of the computational cost (<1%). This is because generalised Cook's distance uses a generalised leverage formulation which outperforms linear and nonlinear leverage formulations due to less restrictive assumptions. Generalised Cook's distance has the potential to enable influential data to be efficiently identified on a wide variety of hydrological and environmental modelling problems. (c) 2018 Elsevier Ltd. All rights reserved.","NO"
"4","Elise","not vetted","Braga, J; ter Braak, CJF; Thuiller, W; Dray, S","Integrating spatial and phylogenetic information in the fourth-corner analysis to test trait-environment relationships","ECOLOGY","2018","10.1002/ecy.2530","The fourth-corner analysis aims to quantify and test for relationships between species traits and site-specific environmental variables, mediated by site-specific species abundances. Since there is no common unit of observation, the significance of the relationships is tested using a double permutation procedure (site based and species based). This method implies that all species and sites are independent of each other. However, this fundamental hypothesis might be flawed because of phylogenetic relatedness between species and spatial autocorrelation in the environmental data. Here, using a simulation-based experiment, we demonstrate how the presence of spatial and phylogenetic autocorrelations can, in some circumstances, lead to inflated type I error rates, suggesting that significant associations can be misidentified. As an alternative, we propose a new randomization approach designed to avoid this issue, based on Moran's spectral randomization. In this approach, standard permutations are replaced by constrained randomizations so that the distribution of the statistic under the null hypothesis is built with additional constraints to preserve the phylogenetic and spatial structures of the observed data. The inclusion of this new randomization approach provides total control over type I error rates and should be used in real studies where spatial and phylogenetic autocorrelations often occur.","NO"
"5","Elise","not vetted","Riecke, TV; Leach, AG; Gibson, D; Sedinger, JS","Parameterizing the robust design in the BUGS language: Lifetime carry-over effects of environmental conditions during growth on a long-lived bird","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.13065","Since the initial development of the robust design, this capture-recapture model structure has been modified to estimate temporary emigration and expanded to include auxiliary information such as band recovery and live resight data using maximum likelihood approaches. These developments have allowed investigators to separately assess individual and group effects on true survival, site fidelity, and temporary emigration. Additionally, recent advances in the BUGS language have allowed researchers to develop increasingly complex, user-specified models in Bayesian frameworks. The robust design has rarely been implemented in the BUGS language, and previous attempts to parameterize the robust design in BUGS exhibited strong bias in estimates of temporary emigration rates. Given the limitations of current parameterizations of the robust design in Bayesian frameworks, and our research objectives, we have developed a parameterization of the robust design in the BUGS language that produces unbiased estimates of all model parameters. We use this novel model structure to examine lifetime carry-over effects of environmental conditions during early life on annual breeding probabilities of Pacific black brent Branta bernicla nigricans breeding on the Yukon-Kuskokwim River Delta in Western Alaska. We found that individuals that were more structurally developed as goslings bred at increased rates as adults (beta = 0.14, f = 0.94), with no effect on adult survival (beta = 0.01, f = 0.62). Additionally, we provide evidence for long-term declines in apparent survival of breeding adult females at the population level (beta = -0.01, f = 0.90). This novel model structure can be easily expanded (Gibson et al., in press) and has important implications for population modelling at broad scales, where we apply it to a declining population of Pacific black brent. Given long-term declines in gosling growth on the Yukon-Kuskokwim Delta, we predict future declines in population trajectories as a result of lifetime carry-over effects of environmental conditions during growth on adult fecundity and long-term declines in adult survival.","YES"
"6","Elise","not vetted","Evans, MJ; Rittenhouse, TAG","Evaluating spatially explicit density estimates of unmarked wildlife detected by remote cameras","JOURNAL OF APPLIED ECOLOGY","2018","10.1111/1365-2664.13194","1. Remote cameras have become a promising, cost-effective tool for monitoring wildlife populations. Yet, for species where individuals are indistinguishable, remote cameras' ability to provide robust and precise density estimates has been limited without the use of invasive marking. 2. Using the American black bear as a model species, we evaluated methods for estimating wildlife densities using remote camera detections of unmarked individuals against estimates from spatial capture-recapture (SCR) models using individual detections. We also tested the effect of incorporating varying proportions of marked individuals on model accuracy and precision. 3. Spatial count (SC) models using unmarked individuals produced estimates of bear density within 0.6% of those from SCR. We extended SC models to incorporate variation in density as a function of land use/land cover, and identified identical relationships between variation in bear densities and housing density as obtained using SCR. Incorporating individual detection data from simultaneous non-invasive genetic sampling lead to more precise, but biased estimates. 4. Synthesis and applications. Our results identify contexts in which camera count data can be used as an alternative to spatial capture-recapture (SCR) when individual identification is prohibitive. Spatial count models provided an accurate, but less precise replication of spatial capture-recapture density estimates and may provide consistent insights into spatial variation in density. Mixed samples of camera counts and auxiliary individual detections are likely to be of limited use, but fitting spatial count models to populations with partial visual markings could improve their precision.","NO"
"7","Elise","not vetted","McInerney, D; Thyer, M; Kavetski, D; Bennett, B; Lerat, J; Gibbs, M; Kuczera, G","A simplified approach to produce probabilistic hydrological model predictions","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2018.07.001","Probabilistic predictions from hydrological models, including rainfall-runoff models, provide valuable information for water and environmental resource risk management. However, traditional ""deterministic"" usage of rainfall-runoff models remains prevalent in practical applications, in many cases because probabilistic predictions are perceived to be difficult to generate. This paper introduces a simplified approach for hydrological model inference and prediction that bridges the practical gap between ""deterministic"" and ""probabilistic"" techniques. This approach combines the Least Squares (LS) technique for calibrating hydrological model parameters with a simple method-of-moments (MoM) estimator of error model parameters (here, the variance and lag-1 autocorrelation of residual errors). A case study using two conceptual hydrological models shows that the LS-MoM approach achieves probabilistic predictions with similar predictive performance to classical maximum-likelihood and Bayesian approaches-but is simpler to implement using common hydrological software and has a lower computational cost. A public web-app to help users implement the simplified approach is available.","NO"
"8","Elise","not vetted","Chianese, E; Galletti, A; Giunta, G; Landi, TC; Marcellino, L; Montella, R; Riccio, A","Spatiotemporally resolved ambient particulate matter concentration by fusing observational data and ensemble chemical transport model simulations","ECOLOGICAL MODELLING","2018","10.1016/j.ecolmodel.2018.07.019","In this work, we describe and implement a data assimilation approach for PM10 pollution data in Northern Italy. This was done by combining the best available information from observations and chemical transport models. Specifically, by (1) incorporating PM10 surface daily concentrations and model results from the CAMS (Copernicus Atmosphere Monitoring Service) ensemble; and (2) spreading the forecast corrections from the observation locations to the entire gridded domain covered by model forecasts by means of a data regularization approach. Results were verified against independent PM10 observations measured at 169 stations by local Environmental Protection Agencies. Twelve months of observations were matched in time and space, from January to December 2017, with air pollution model results. The studied domain encompassed the Po Valley, one of the most polluted areas in Europe, and that still does not meet the air quality criteria for the annual average concentration and the maximum number of exceedances allowed for the particulate matter. Raw model data were found to be affected by a bias with a strong seasonal dependency: a large negative bias in winter and a small bias in the summer months. The data assimilation approach, embedded into a Bayesian hierarchical approach, was able to drastically reduce the bias. Furthermore, an advanced computational approach, based on the variational Bayes method coupled with the minimization of the Kullback Leibler divergence to approximate the optimal solution, made it possible to cost-effectively assimilate data throughout the period under consideration. By using stratified cross-validation to test the accuracy of our predictions, we found high out-of-sample R-2 ( = 0.83) and an average decrease of about two-thirds of the root mean square error. Assimilated data were used to produce daily resolved cumulative population exposures. The Po Valley, in relation to the interim targets (ITs) defined by the World Health Organization, accomplishes the IT-2 level, that is to say that the average annual concentration is lower than 50 mu g/m(3), but it is still very far from the IT-3 level, corresponding to an average annual concentration of less than 30 mu g/m(3). Moreover, most of the Po Valley still has a high number of days in which the average daily concentration is higher than 50 mu g/m(3), well above the maximum limit of 35 days established by European and Italian legislation. Our results demonstrate that PM10 can be reproduced reliably using this assimilation approach, combining different sources of information, so as to perform a thorough diagnosis of air quality over a spatially and temporally uniform area.","NO"
"9","Elise","not vetted","Knape, J; Arlt, D; Barraquand, F; Berg, A; Chevalier, M; Part, T; Ruete, A; Zmihorski, M","Sensitivity of binomial N-mixture models to overdispersion: The importance of assessing model fit","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.13062","1. Binomial N-mixture models are commonly applied to analyse population survey data. By estimating detection probabilities, N-mixture models aim at extracting information about abundances in terms of absolute and not just relative numbers. This separation of detection probability and abundance relies on parametric assumptions about the distribution of individuals among sites and of detections of individuals among repeat visits to sites. Current methods for checking assumptions are limited, and their computational complexity has hindered evaluations of their performance. 2. We use simulations and a case study to assess the sensitivity of binomial N-mixture models to overdispersion in abundance and in detection, develop computationally efficient graphical goodness of fit checks to detect it, and evaluate the ability of the checks to identify overdispersion. 3. The simulations show that if the parametric assumptions are not exact the bias in estimated abundances can be severe: underestimation if there is overdispersion in abundance relative to the fitted model and overestimation if there is overdispersion in detection. Our goodness-of-fit checks performed well in detecting lack of fit when the abundance distribution was overdispersed, but struggled to detect lack of fit when detections were overdispersed. We show that the inability to detect lack of fit due to overdispersed detection is caused by a fundamental similarity between N-mixture models with beta-binomial detections and N-mixture models with negative binomial abundances. 4. The strong biases that can occur in the binomial N-mixture model when the distribution of individuals among sites, or the detection model, is mis-specified implies that checking goodness of fit is essential for sound inference about abundance. To check the assumptions we provide computationally efficient goodness of fit checks that are available in an R-package nmixgof. However, even when a binomial N-mixture model appears to fit the data well, estimates are not robust in the presence of overdispersion. We show that problems can occur even when estimated detection probabilities are high, and that previously reported problems with negative binomial models cannot always be diagnosed by checking the sensitivity of abundance estimates to numerical cutoff values used in likelihood computations.","YES"
"10","Elise","not vetted","Callaghan, DP; Baldock, TE; Shabani, B; Mumby, PJ","Communicating physics-based wave model predictions of coral reefs using Bayesian belief networks","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2018.07.021","The use of physics-based wave propagation predictions requires a considerable time commitment, a high level of expertise and extensive climate and reef data that are not always available when undertaking planning for management of coasts and coral reef ecosystems. Bayesian belief networks (BBNs) have at least three attributes that make them an excellent choice to communicate physics-based wave model predictions. First, BBNs subsume thousands of predictions to provide probabilistic outcomes. Second, by using prior probabilities, a practitioner can still obtain predictions of wave outcomes even when their knowledge of input parameters is incomplete. Third, BBNs can propagate evidence from outputs to inputs, which can be used to identify input conditions that are most likely to deliver a chosen outcome. These three attributes are tested and found to hold for a BBN developed for this purpose.","NO"
